# Wordlist

# DATA
ID	ID	ALIGNMENT	COGIDS	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	BORROWING	NOTE	SOURCE	SUBGROUP
1898		k a n i + n a	311	bite, to	Imbabura	kanina	morder	k a n i + n a	kanina				Quechua
1899		k a n i	311	bite, to	Inkawasi	kani.	morder	k a n i	kani.				Quechua
1902		k a n i	311	bite, to	Lamas	kani	morder	k a n i	kani		also for other animals than dogs		Quechua
1903		k a ʈʂ u	214	bite, to	Laraos	kaĉu.	morder	k a ʈʂ u	kaĉu.				Quechua
1904		k a n i	311	bite, to	Lincha-Tana	kani-	morder	k a n i	kani-				Quechua
1905		k a n i	311	bite, to	Maragua	kani.	morder	k a n i	kani.				Quechua
1906		k a n i + n a	311	bite, to	Napo	canina	morder	k a n i + n a	canina				Quechua
1907		k a n i	311	bite, to	Pacaraos	kani	morder	k a n i	kani				Quechua
1908		k a n i + n a	311	bite, to	Pastaza	canina	morder	k a n i + n a	canina				Quechua
1909		k a n i	311	bite, to	Pocona	kani.	morder	k a n i	kani.				Quechua
1911		k a n i	311	bite, to	Puno	kani.	morder	k a n i	kani.				Quechua
1912		k a n i	311	bite, to	Putumayo	cani	morder	k a n i	cani				Quechua
1913		- a ɲ i	311	bite, to	Raimondi	aniy	morder	a ɲ i	aniy				Quechua
1914		k a n i	311	bite, to	SanPedro	kani-	morder	k a n i	kani-				Quechua
1915		k a n iː	311	bite, to	Santiagueno	kaniy	morder	k a n iː	kaniy				Quechua
1917		k a n i	311	bite, to	Serena	kani.	morder	k a n i	kani.				Quechua
1919		k a n i	311	bite, to	Taquile	kani.	morder	k a n i	kani.				Quechua
1920		k a ʈʂ u	214	bite, to	Tarma	kaĉu	morder	k a ʈʂ u	kaĉu		kani: only for dogs, possibly also in other doculects		Quechua
1921		k a n i	311	bite, to	Troje	kani.	morder	k a n i	kani.				Quechua
1922		k a n i	311	bite, to	Yanac	kani.	morder	k a n i	kani.				Quechua
7542		k a n i + n a	311	bite, to	Azuay	cani-na	morder	k a n i + n a	cani-na				
7586		k a n i	311	bite, to	Jauja	kaniy	morder	k a n i	kaniy				
#
7260		j a n a	366	black	Apuri	yana	negro	j a n a	yana				Quechua
7261		j a n a	366	black	Apurimac	yana	negro	j a n a	yana				Quechua
7262		j a n a	366	black	Arma	yana	negro	j a n a	yana				Quechua
7263		j a n a	366	black	Atalla	yana	negro	j a n a	yana				Quechua
7264		j a n a	366	black	Ayacucho	yana	negro	j a n a	yana				Quechua
7265		j a n a	366	black	Bobonaza	yana	negro	j a n a	yana				Quechua
7266		j a n a	366	black	Cacra-Hongos	yana	negro	j a n a	yana				Quechua
